Species	Molecular weight	Collision diameter	kb* inverse  Collision energy (k/eps)
h	0.001	2.05e-10	0.00689655172413793
c3h4-p	0.04	4.667e-10	0.00351246926589392
c4h71-4	0.055	4.65e-10	0.0028169014084507
nc3h7o	0.059	4.997e-10	0.00207684319833853
ac5h10	0.07	5.532e-10	0.00258665287118469
c4h8o2-3	0.072	5.2e-10	0.00201612903225806
ch3och2o2h	0.078	4.037e-10	0.00253164556962025
dc6h12	0.084	5.872e-10	0.00241312741312741
c5h10o1-2	0.086	5.664e-10	0.00191131498470948
c3ket13	0.09	5.009e-10	0.002154243860405
kes1	0.098	5.643e-10	0.00186057934719713
c7h15-2d	0.099	5.99e-10	0.00182865502422968
c5h81ooh3-4	0.101	5.33e-10	0.00222380359366661
nc4ket24	0.104	5.778e-10	0.00210084033613445
c8h17-2	0.113	6.27e-10	0.00163174727498205
c7h14o1-3	0.114	6.297e-10	0.00195503421309873
c6h102ooh6-5	0.115	5.96e-10	0.00169037416432127
c6h113o2h-2	0.116	5.96e-10	0.00169037416432127
c6h12ooh3-5	0.117	5.943e-10	0.00169879368660314
c9h17-1-2	0.125	6.4e-10	0.00153176888671037
ic6h13coch2	0.127	6.24e-10	0.00167771160137572
c8h16o2-5-2	0.128	6.24e-10	0.00167768345468577
nc6d1ket45	0.13	6.548e-10	0.00214132762312634
c7h14ooh2-1	0.131	6.317e-10	0.0017825311942959
c7ooh3-2d	0.131	5.99e-10	0.00182865502422968
c5h81ooh5-4o2	0.133	5.33e-10	0.00222380359366661
c7h15chco	0.14	6.24e-10	0.00187090739008419
c9o2-5	0.142	6.49e-10	0.00151768098345728
c9h18o7-8-2	0.142	6.4e-10	0.00153176888671037
c8ooh2-2c	0.145	6.24e-10	0.00167768345468577
c8h17o2-1	0.145	6.27e-10	0.00163174727498205
c8h17ooh-4-2	0.146	6.24e-10	0.00167768345468577
c8ooh1-2	0.146	6.27e-10	0.00163174727498205
c6h101ooh6-5o2	0.147	6.436e-10	0.00147677985199712
c11h22-6-2	0.154	6.68e-10	0.00145747099632717
c10o2-4	0.156	6.69e-10	0.00141860069227714
ic9h19cho	0.156	6.68e-10	0.00145749223885383
c9ooh3-5	0.159	6.49e-10	0.00151768098345728
c9ooh1-3	0.159	6.49e-10	0.00151768098345728
c9ooh1-2b	0.159	6.4e-10	0.00153176888671037
c9h19ooh-3-2	0.16	6.4e-10	0.00153176888671037
c8ket5-7-2	0.16	6.24e-10	0.00167768345468577
c7ooh3-oo4-2	0.163	5.99e-10	0.00182865502422968
c7h14ooh2-6o2	0.163	7.229e-10	0.00166500166500167
nc7h15coc3h6p	0.169	7.11e-10	0.00119937152931864
c11o3-6	0.17	6.8e-10	0.0013259082471493
c11h22o1-4-2	0.17	6.68e-10	0.00145747099632717
c10ooh8-2d	0.173	6.4e-10	0.00153176888671037
c10h21oo-1-2	0.173	6.4e-10	0.00153176888671037
c10ooh4-2g	0.173	6.4e-10	0.00153176888671037
c9ket4-7	0.174	6.49e-10	0.00151768098345728
c10h21ooh-7-2	0.174	6.4e-10	0.00153176888671037
c9ket3-4-2	0.174	6.4e-10	0.00153176888671037
c8ooh3-6o2	0.177	6.27e-10	0.00163174727498205
c8ooh1-oo4-2	0.177	6.24e-10	0.00167768345468577
ic8h17coc3h6p	0.183	7.11e-10	0.00119937152931864
c12h24o5-6-2	0.184	7.12e-10	0.00119935714457051
c12h24o6-10-2	0.184	7.12e-10	0.00119935714457051
c12h25o-6-2	0.185	7.12e-10	0.00119935714457051
c11ooh4-2c	0.187	6.68e-10	0.00145747099632717
c11ooh1-3	0.187	6.8e-10	0.0013259082471493
c11ooh4-1	0.187	6.8e-10	0.0013259082471493
c10ket1-5-2	0.188	6.4e-10	0.00153176888671037
c10ket5-7-2	0.188	6.4e-10	0.00153176888671037
c10ket7-9-2	0.188	6.4e-10	0.00153176888671037
c9ooh2-oo6-2	0.191	6.4e-10	0.00153176888671037
c9ooh4-oo5-2	0.191	6.4e-10	0.00153176888671037
c14h28-2-2	0.196	7.36e-10	0.00107580093379521
c14h29-1	0.197	7.48e-10	0.00116661611330176
c13o2-4	0.198	7.27e-10	0.00120989207762668
c13h26o11-12-2	0.198	7.24e-10	0.00113428840416964
c12ooh3-6	0.201	7.06e-10	0.0012671701556085
c12h25oo-11-2	0.201	7.12e-10	0.00119935714457051
c12ooh9-2j	0.201	7.12e-10	0.00119935714457051
c12ooh6-2d	0.201	7.12e-10	0.00119935714457051
c11ket4-5	0.202	6.8e-10	0.0013259082471493
c11ket5-8	0.202	6.8e-10	0.0013259082471493
c11ket9-7-2	0.202	6.68e-10	0.00145747099632717
c12h25ooh-7-2	0.202	7.12e-10	0.00119935714457051
c10ooh4-8o2	0.205	6.69e-10	0.00141860069227714
c10ooh5-oo1-2	0.205	6.4e-10	0.00153176888671037
c15h30-12-2	0.21	7.46e-10	0.00102285047971688
c15h31-2h	0.211	7.46e-10	0.00102285047971688
c14h28o3-5-2	0.212	7.36e-10	0.00107580093379521
c14o2-3	0.212	7.48e-10	0.00116661611330176
c14h29o-10-2	0.213	7.36e-10	0.00107580093379521
c13h27oo-10-2	0.215	7.24e-10	0.00113428840416964
c13ooh4-2h	0.215	7.24e-10	0.00113428840416964
c13ooh7-5	0.215	7.27e-10	0.00120989207762668
c13ooh9-2g	0.215	7.24e-10	0.00113428840416964
c13h27o2h-3	0.216	7.27e-10	0.00120989207762668
c12ket5-8	0.216	7.06e-10	0.0012671701556085
c12ket5-9-2	0.216	7.12e-10	0.00119935714457051
c12ket8-7-2	0.216	7.12e-10	0.00119935714457051
c11ooh3-7o2	0.219	6.8e-10	0.0013259082471493
c11ooh5-1o2	0.219	6.8e-10	0.0013259082471493
c11ooh5-3o2	0.219	6.8e-10	0.0013259082471493
c16h32-14-2	0.224	7.56e-10	0.000974611373714731
c16h33-1	0.225	7.73e-10	0.00106505346568398
c15h30o7-10-2	0.226	7.46e-10	0.00102285047971688
ic14h29cho	0.226	7.46e-10	0.00102285047971688
c15h31o-8-2	0.227	7.46e-10	0.00102285047971688
c14ooh11-2j	0.229	7.36e-10	0.00107580093379521
c14ooh13-2l	0.229	7.36e-10	0.00107580093379521
c14ooh6-2h	0.229	7.36e-10	0.00107580093379521
c14ooh6-7	0.229	7.48e-10	0.00116661611330176
c14ooh4-2c	0.229	7.36e-10	0.00107580093379521
c13ket4-3-2	0.23	7.24e-10	0.00113428840416964
c13ket4-7-2	0.23	7.24e-10	0.00113428840416964
c13ket3-7-2	0.23	7.24e-10	0.00113428840416964
c14h29ooh-7-2	0.23	7.36e-10	0.00107580093379521
c12ooh8-oo5-2	0.233	7.12e-10	0.00119935714457051
c12ooh5-oo2-2	0.233	7.12e-10	0.00119935714457051
c12ooh6-oo3-2	0.233	7.12e-10	0.00119935714457051
c17h34-10-2	0.238	7.65e-10	0.00093042297028229
c17h35-2j	0.239	7.65e-10	0.00093042297028229
nc15h31cho	0.24	7.73e-10	0.00106505346568398
c16o6-8	0.24	7.73e-10	0.00106505346568398
c16h33o-1-2	0.241	7.56e-10	0.000974611373714731
c15ooh10-2n	0.243	7.46e-10	0.00102285047971688
c15h31o2-4	0.243	7.58e-10	0.00110513112380784
c15h31o2-2	0.243	7.58e-10	0.00110513112380784
c15ooh13-2i	0.243	7.46e-10	0.00102285047971688
c15ooh6-3	0.243	7.58e-10	0.00110513112380784
c14ket1-3	0.244	7.48e-10	0.00116661611330176
c14ket8-12-2	0.244	7.36e-10	0.00107580093379521
c14ket3-1-2	0.244	7.36e-10	0.00107580093379521
c14ket1-3-2	0.244	7.36e-10	0.00107580093379521
c15ooh3-2	0.244	7.58e-10	0.00110513112380784
c13ooh5-oo4-2	0.247	7.24e-10	0.00113428840416964
c13ooh5-3o2	0.247	7.27e-10	0.00120989207762668
c13ooh4-6o2	0.247	7.27e-10	0.00120989207762668
c18h35-1-2	0.251	7.72e-10	0.000889750958706658
c18h37-2j	0.253	7.72e-10	0.000889750958706658
c17h34o2-3-2	0.254	7.65e-10	0.00093042297028229
c17h34o12-15-2	0.254	7.65e-10	0.00093042297028229
c16ooh6-4	0.257	7.73e-10	0.00106505346568398
c16ooh4-2f	0.257	7.56e-10	0.000974611373714731
c16ooh5-8	0.257	7.73e-10	0.00106505346568398
c16h33oo-3-2	0.257	7.56e-10	0.000974611373714731
c16ooh9-2h	0.257	7.56e-10	0.000974611373714731
c16ooh3-2b	0.257	7.56e-10	0.000974611373714731
c15ket3-6-2	0.258	7.46e-10	0.00102285047971688
c15ket11-10-2	0.258	7.46e-10	0.00102285047971688
c15ket8-11-2	0.258	7.46e-10	0.00102285047971688
c15ket9-6-2	0.258	7.46e-10	0.00102285047971688
c15ket7-4	0.258	7.58e-10	0.00110513112380784
c14ooh4-6o2	0.261	7.48e-10	0.00116661611330176
c14ooh4-oo1-2	0.261	7.36e-10	0.00107580093379521
c14ooh4-oo2-2	0.261	7.36e-10	0.00107580093379521
c14ooh8-oo5-2	0.261	7.36e-10	0.00107580093379521
c19h38-7-2	0.266	7.79e-10	0.000852158944686363
c18h36o7-11-2	0.268	7.72e-10	0.000889750958706658
c18h36o8-12-2	0.268	7.72e-10	0.000889750958706658
c18h37o-2-2	0.269	7.72e-10	0.000889750958706658
c17ooh13-2p	0.271	7.65e-10	0.00093042297028229
c17ooh14-2p	0.271	7.65e-10	0.00093042297028229
c17ooh9-2f	0.271	7.65e-10	0.00093042297028229
c17ooh7-2f	0.271	7.65e-10	0.00093042297028229
c16ket7-5-2	0.272	7.56e-10	0.000974611373714731
c16ket6-4-2	0.272	7.56e-10	0.000974611373714731
c16ket9-5-2	0.272	7.56e-10	0.000974611373714731
c16ket1-2-2	0.272	7.56e-10	0.000974611373714731
c16ket8-9-2	0.272	7.56e-10	0.000974611373714731
c15ooh5-6o2	0.275	7.58e-10	0.00110513112380784
c15ooh10oo11-2	0.275	7.46e-10	0.00102285047971688
c15ooh3-oo2-2	0.275	7.46e-10	0.00102285047971688
c15ooh3-4o2	0.275	7.58e-10	0.00110513112380784
c20h40-11-2	0.28	7.86e-10	0.00081727390117524
c20h41-2n	0.281	7.86e-10	0.00081727390117524
c19h38o9-13-2	0.282	7.79e-10	0.000852158944686363
c19h38o7-11-2	0.282	7.79e-10	0.000852158944686363
c18ooh10-2f	0.285	7.72e-10	0.000889750958706658
c18ooh4-2c	0.285	7.72e-10	0.000889750958706658
c18ooh14-2p	0.285	7.72e-10	0.000889750958706658
c18h37oo-5-2	0.285	7.72e-10	0.000889750958706658
c18ooh12-2o	0.285	7.72e-10	0.000889750958706658
c17ket7-4-2	0.286	7.65e-10	0.00093042297028229
c17ket9-8-2	0.286	7.65e-10	0.00093042297028229
c18h37ooh-12-2	0.286	7.72e-10	0.000889750958706658
c16ooh8-5o2	0.289	7.73e-10	0.00106505346568398
c16ooh13oo12-2	0.289	7.56e-10	0.000974611373714731
c16ooh5-1o2	0.289	7.73e-10	0.00106505346568398
c16ooh1-2o2	0.289	7.73e-10	0.00106505346568398
c16ooh7-3o2	0.289	7.73e-10	0.00106505346568398
c20h40o8-10-2	0.296	7.86e-10	0.00081727390117524
c20h40o13-16-2	0.296	7.86e-10	0.00081727390117524
c20h41o-8-2	0.297	7.86e-10	0.00081727390117524
c19h39oo-12-2	0.299	7.79e-10	0.000852158944686363
c19ooh12-2j	0.299	7.79e-10	0.000852158944686363
c19ooh7-2i	0.299	7.79e-10	0.000852158944686363
c19h39oo-11-2	0.299	7.79e-10	0.000852158944686363
c18ket4-3-2	0.3	7.72e-10	0.000889750958706658
c18ket13-14-2	0.3	7.72e-10	0.000889750958706658
c18ket5-2-2	0.3	7.72e-10	0.000889750958706658
c18ket12-9-2	0.3	7.72e-10	0.000889750958706658
c17ooh16oo15-2	0.303	7.65e-10	0.00093042297028229
c17ooh8oo10-2	0.303	7.65e-10	0.00093042297028229
c17ooh4-oo8-2	0.303	7.65e-10	0.00093042297028229
c17ooh13oo16-2	0.303	7.65e-10	0.00093042297028229
c20ooh11-2o	0.313	7.86e-10	0.00081727390117524
c20ooh10-2l	0.313	7.86e-10	0.00081727390117524
c20ooh10-2f	0.313	7.86e-10	0.00081727390117524
c20ooh15-2n	0.313	7.86e-10	0.00081727390117524
c20ooh9-2f	0.313	7.86e-10	0.00081727390117524
