Species	Molecular weight	Collision diameter	kb* inverse  Collision energy (k/eps)
h	0.001	2.05e-10	0.00689655172413793
ch	0.013	2.75e-10	0.0125
o	0.016	2.75e-10	0.0125
c2h	0.025	3.721e-10	0.00376931775348662
co	0.028	3.698e-10	0.00956937799043062
ch2o	0.03	3.59e-10	0.00200803212851406
ch3oh	0.032	3.626e-10	0.0020755500207555
c3h2	0.038	4.1e-10	0.00478468899521531
c3h4-p	0.04	4.667e-10	0.00351246926589392
c3h5-a	0.041	4.22e-10	0.00316455696202532
ch3co	0.043	3.97e-10	0.00229357798165138
nc3h7	0.043	4.81e-10	0.003295978905735
c3h8	0.044	5.114e-10	0.00421585160202361
pc2h4oh	0.045	4.41e-10	0.00212494687632809
c2h5oh	0.046	4.41e-10	0.00212494687632809
ch3o2h	0.048	3.626e-10	0.0020755500207555
c4h71-4	0.055	4.65e-10	0.0028169014084507
chchcho	0.055	4.12e-10	0.00225631768953069
c4h8-1	0.056	5.274e-10	0.00330687830687831
tc4h9	0.057	5.392e-10	0.00338066260987153
pc4h9	0.057	5.405e-10	0.00327868852459016
ch2cch2oh	0.057	4.997e-10	0.00207684319833853
c4h10	0.058	5.206e-10	0.00284981476204047
ic4h10	0.058	5.392e-10	0.00338066260987153
nc3h7o	0.059	4.997e-10	0.00207684319833853
ch3ocho	0.06	4.037e-10	0.00253164556962025
o2cho	0.061	3.97e-10	0.00229357798165138
hoch2o2	0.063	3.626e-10	0.0020755500207555
c5h81-3	0.068	5.33e-10	0.00222380359366661
c2h3chcho	0.069	5.009e-10	0.002154243860405
sc3h5co	0.069	5.009e-10	0.002154243860405
bc5h10	0.07	5.55e-10	0.00255493101686254
ac5h10	0.07	5.532e-10	0.00258665287118469
ic3h5cho	0.07	5.352e-10	0.00229147571035747
dc5h11	0.071	5.041e-10	0.00226893711640782
c5h11-2	0.071	5.041e-10	0.00226893711640782
ch3chcoch3	0.071	5.04e-10	0.00226971474225119
ic3h6cho	0.071	5.352e-10	0.00229147571035747
c3h6cho-3	0.071	5.009e-10	0.002154243860405
nc5h12	0.072	5.455e-10	0.00218254834344581
c4h8o2-3	0.072	5.2e-10	0.00201612903225806
c4h8o1-4	0.072	5.2e-10	0.00201612903225806
ch3coch2o	0.073	5.086e-10	0.00223394297637159
tc4h9o	0.073	5.2e-10	0.00201612903225806
ac3h5ooh	0.074	4.997e-10	0.00207684319833853
c3h6ooh1-2	0.075	4.662e-10	0.00229779411764706
c3h6ooh1-3	0.075	4.662e-10	0.00229779411764706
nc3h7o2h	0.076	4.997e-10	0.00207684319833853
ch3och2o2h	0.078	4.037e-10	0.00253164556962025
c6h101-5	0.082	5.715e-10	0.00240963855421687
c6h111-4	0.083	5.85e-10	0.00236183278223902
c6h112-4	0.083	5.85e-10	0.00236183278223902
c4h6cho1-44	0.083	5.306e-10	0.00207326503998292
c4h6cho1-43	0.083	5.306e-10	0.00207326503998292
c4h7cho1-1	0.084	5.778e-10	0.00210084033613445
ic3h7chco	0.084	5.778e-10	0.00210084033613445
dc6h12	0.084	5.872e-10	0.00241312741312741
c4h8cho4-2	0.085	5.778e-10	0.00210084033613445
tc4h8cho	0.085	5.348e-10	0.00204463854879734
ic4h9co	0.085	5.778e-10	0.00210084033613445
c5h9o2-4	0.085	5.664e-10	0.00191131498470948
c5h9o1-3	0.085	5.664e-10	0.00191131498470948
c2h5coc2h4p	0.085	5.348e-10	0.00204463854879734
nc4h9cho	0.086	5.778e-10	0.00210084033613445
c5h10o1-2	0.086	5.664e-10	0.00191131498470948
c5h10oh-1	0.087	5.664e-10	0.00191131498470948
c5h11o-3	0.087	5.664e-10	0.00191131498470948
c4h7ooh1-4	0.088	5.664e-10	0.00191131498470948
c4h8ooh1-4	0.089	5.2e-10	0.00201612903225806
tc4h8o2h-i	0.089	5.356e-10	0.00199123855037834
ic4h8o2h-t	0.089	5.356e-10	0.00199123855037834
c4h8ooh2-2	0.089	5.2e-10	0.00201612903225806
c3ket13	0.09	5.009e-10	0.002154243860405
ch3coch2o2h	0.09	5.449e-10	0.00197861904262539
c7h132-7	0.097	5.89e-10	0.0017919862375457
c7h132-5	0.097	5.89e-10	0.0017919862375457
c7h131-3	0.097	5.89e-10	0.0017919862375457
c7h132-4	0.097	5.89e-10	0.0017919862375457
c7h14-1	0.098	6.173e-10	0.00218435998252512
ic3h7coc2h3	0.098	5.606e-10	0.00188265416584301
kes1	0.098	5.643e-10	0.00186057934719713
c7h14-1-2	0.098	5.99e-10	0.00182865502422968
c6h11o1-4	0.099	5.674e-10	0.00184672206832872
c5h10cho-2	0.099	5.625e-10	0.00187152714743704
c4h8coch3-4	0.099	5.625e-10	0.00187152714743704
c6h11o2-4	0.099	5.674e-10	0.00184672206832872
ic4h9coch2	0.099	6.02e-10	0.00198530871550526
c4h8coch3-2	0.099	5.625e-10	0.00187152714743704
c7h15-2d	0.099	5.99e-10	0.00182865502422968
c5h10cho-4	0.099	5.625e-10	0.00187152714743704
c6h11o1-5	0.099	5.674e-10	0.00184672206832872
c6h12o3-4	0.1	5.643e-10	0.00186057934719713
c6h12o1-2	0.1	5.643e-10	0.00186057934719713
c6h12o1-3	0.1	5.643e-10	0.00186057934719713
c5h91o2-3	0.101	5.33e-10	0.00222380359366661
c6h12oh-3	0.101	5.674e-10	0.00184672206832872
c5h81ooh3-4	0.101	5.33e-10	0.00222380359366661
c5h81ooh4-5	0.101	5.33e-10	0.00222380359366661
c5h9ooh1-5	0.102	5.68e-10	0.00183963869496031
c5h10ooh1-3	0.103	5.664e-10	0.00191131498470948
c5h10ooh2-3	0.103	5.664e-10	0.00191131498470948
c5h11o2-2	0.103	5.664e-10	0.00191131498470948
ch3choococh3	0.103	5.698e-10	0.00182961859770712
c5h11o2h-2	0.104	5.664e-10	0.00191131498470948
nc4ket24	0.104	5.778e-10	0.00210084033613445
nc4ket13	0.104	5.778e-10	0.00210084033613445
io2c4h8oh	0.105	5.2e-10	0.00201612903225806
c3h6ooh1-2o2	0.107	4.662e-10	0.00229779411764706
c8h15-1-2	0.111	6.24e-10	0.00167768345468577
c8h16-6-2	0.112	6.24e-10	0.00167768345468577
c8h16-2-2	0.112	6.24e-10	0.00167768345468577
c8h16-1	0.112	6.11e-10	0.00164209005221846
c8h17-2	0.113	6.27e-10	0.00163174727498205
c7h13o1-3	0.113	6.317e-10	0.0017825311942959
c3coc3h6p	0.113	5.625e-10	0.00187152714743704
ic3h7coc3h6p	0.113	5.99e-10	0.00182865502422968
ic4h9coc2h4p	0.113	5.99e-10	0.00182865502422968
c8h17-2d	0.113	6.24e-10	0.00167768345468577
c7h14o4-5-2	0.114	5.99e-10	0.00182865502422968
c7h14o2-6-2	0.114	5.99e-10	0.00182865502422968
c7h14o1-3	0.114	6.297e-10	0.00195503421309873
c7h14o1-3-2	0.114	5.99e-10	0.00182865502422968
c7h14o2-5-2	0.114	5.99e-10	0.00182865502422968
c7h14o2-5	0.114	6.297e-10	0.00195503421309873
c7h14o1-4-2	0.114	5.99e-10	0.00182865502422968
c8h18-2	0.114	6.24e-10	0.00167768345468577
c6h113o2-2	0.115	5.943e-10	0.00169879368660314
c7h15o-1-2	0.115	5.99e-10	0.00182865502422968
c6h102ooh6-5	0.115	5.96e-10	0.00169037416432127
c6h112o2-4	0.115	5.943e-10	0.00169879368660314
c6h102ooh6-4	0.115	5.96e-10	0.00169037416432127
c6h101ooh4-6	0.115	5.96e-10	0.00169037416432127
c6h102ooh4-6	0.115	5.96e-10	0.00169037416432127
c6h112o2-5	0.115	5.943e-10	0.00169879368660314
c6h111o2-3	0.115	5.943e-10	0.00169879368660314
c7h15o-4	0.115	6.317e-10	0.0017825311942959
c6h113o2h-2	0.116	5.96e-10	0.00169037416432127
c6h11ooh1-4	0.116	6.317e-10	0.0017825311942959
c6h112o2h-6	0.116	5.96e-10	0.00169037416432127
nc5d1ket43	0.116	5.504e-10	0.00258732212160414
nc5d1ket45	0.116	5.504e-10	0.00258732212160414
c6h13o2-3	0.117	5.943e-10	0.00169879368660314
c6h12ooh1-2	0.117	5.943e-10	0.00169879368660314
c6h12ooh2-1	0.117	5.943e-10	0.00169879368660314
c6h12ooh3-5	0.117	5.943e-10	0.00169879368660314
nc5ket31	0.118	6.174e-10	0.00202101859337106
nc5ket32	0.118	6.174e-10	0.00202101859337106
nc5ket15	0.118	6.174e-10	0.00202101859337106
c6h13o2h-2	0.118	5.96e-10	0.00169037416432127
c4h8ooh2-3o2	0.121	5.2e-10	0.00201612903225806
ic4h8ooh-io2	0.121	6.009e-10	0.00166645002816301
c4h8ooh2-4o2	0.121	5.2e-10	0.00201612903225806
c9h17-1-2	0.125	6.4e-10	0.00153176888671037
c9h18-4-2	0.126	6.4e-10	0.00153176888671037
c9h18-5-2	0.126	6.4e-10	0.00153176888671037
c9h18-3	0.126	6.35e-10	0.00152891172063725
c9h18-2-2	0.126	6.4e-10	0.00153176888671037
nc6h13coch2	0.127	6.4e-10	0.00153176888671037
ic4h9coc3h6p	0.127	6.24e-10	0.00167771160137572
c6h13coch2	0.127	6.24e-10	0.00187090739008419
ic6h13coch2	0.127	6.24e-10	0.00167771160137572
c9h19-2a	0.127	6.4e-10	0.00153176888671037
c9h19-3	0.127	6.49e-10	0.00151768098345728
c8h16o5-6-2	0.128	6.24e-10	0.00167768345468577
c8o2-5	0.128	6.27e-10	0.00163174727498205
c8o2-4	0.128	6.27e-10	0.00163174727498205
c8o1-2	0.128	6.27e-10	0.00163174727498205
c8h16o3-6-2	0.128	6.24e-10	0.00167768345468577
c8h16o2-5-2	0.128	6.24e-10	0.00167768345468577
c8h16o6-7-2	0.128	6.24e-10	0.00167768345468577
c8h16o4-5-2	0.128	6.24e-10	0.00167768345468577
c8h17o-2	0.129	6.27e-10	0.00163174727498205
c8h17o-3-2	0.129	6.24e-10	0.00167768345468577
c8h17o-2-2	0.129	6.24e-10	0.00167768345468577
nc6d2ket45	0.13	6.548e-10	0.00214132762312634
nc6d1ket54	0.13	6.548e-10	0.00214132762312634
nc6d1ket45	0.13	6.548e-10	0.00214132762312634
nc6d1ket43	0.13	6.548e-10	0.00214132762312634
nc6d1ket64	0.13	6.548e-10	0.00214132762312634
c7ooh2-2e	0.131	5.99e-10	0.00182865502422968
c7ooh1-2d	0.131	5.99e-10	0.00182865502422968
c7h14ooh3-1	0.131	6.317e-10	0.0017825311942959
c7h15oo-2-2	0.131	5.99e-10	0.00182865502422968
c7h14ooh2-3	0.131	6.317e-10	0.0017825311942959
c7h14ooh2-1	0.131	6.317e-10	0.0017825311942959
c7ooh2-2d	0.131	5.99e-10	0.00182865502422968
c7h14ooh3-6	0.131	6.317e-10	0.0017825311942959
c7h15oo-1-2	0.131	5.99e-10	0.00182865502422968
c7ooh3-2a	0.131	5.99e-10	0.00182865502422968
c7h15oo-6-2	0.131	5.99e-10	0.00182865502422968
c7h14ooh3-7	0.131	6.317e-10	0.0017825311942959
c7ooh2-2a	0.131	5.99e-10	0.00182865502422968
c7ooh3-2d	0.131	5.99e-10	0.00182865502422968
